Feature_Set,Feature_Name,Importance_mean,Importance_std
Disc Only,cup_betti_curve_H1_bin3,0.006286016063182169,0.0006748248637237662
Disc Only,cup_pi_H1_px13,0.006264301485300874,0.0007366387703176393
Disc Only,cup_pi_H0_px6,0.006261973753297548,0.0010256395188231262
Disc Only,cup_pi_H1_px8,0.004694895267092185,0.0007824529419704801
Disc Only,cup_pi_H1_px6,0.004494501017398527,0.0005658939967124764
Disc Only,cup_betti_curve_H1_bin1,0.004242463248747651,0.0006553302362048737
Disc Only,cup_pi_H0_px5,0.003966814344302207,0.00033907771438053977
Disc Only,cup_pi_H1_px5,0.0029679753268580787,0.0002037953561084495
Disc Only,cup_pi_H1_px0,0.002964746233992923,0.0005707377247137949
Disc Only,cup_pi_H0_px3,0.0029011254641961278,0.0009612345690866564
Disc Only,cup_pi_H0_px8,0.0019692637203639293,0.00038284506096653806
Disc Only,cup_betti_curve_H1_bin0,0.0015437443905281553,0.0003121525159249946
Disc Only,cup_betti_curve_H0_bin0,0.0010116293284133525,0.0002538503282231669
Disc Only,cup_pi_H1_px19,0.0008022248729669124,0.0002445714978942884
Disc Only,cup_pi_H1_px14,0.0007796702982453985,0.00029963845306970336
Disc Only,cup_pi_H0_px19,0.0006240575166741723,0.0003424686244548202
Disc Only,cup_pi_H1_px9,2.001277887361651e-05,1.0088840501665419e-05
Disc Only,cup_pi_H0_px14,8.828492947752353e-06,1.0852231134419305e-05
Disc Only,cup_pi_H0_px4,0.0,0.0
Disc Only,cup_betti_curve_H0_bin9,0.0,0.0
Disc Only,cup_betti_curve_H1_bin9,0.0,0.0
Disc Only,cup_pi_H0_px9,0.0,0.0
Disc Only,cup_pi_H1_px4,0.0,0.0
Vessel Only,vessel_amp_wasserstein_H1,0.05274526359952938,0.006274749572492042
Vessel Only,vessel_amp_betti_H1,0.044253356515129946,0.006164560477870864
Vessel Only,vessel_amp_landscape_H1,0.03475201958277273,0.003178362182632718
Vessel Only,vessel_entropy_H0,0.03173417648551447,0.002870220688591036
Vessel Only,vessel_entropy_H1,0.028198422259838533,0.003513333384474614
Vessel Only,vessel_amp_betti_H0,0.027321148795923966,0.0025114422167965608
Vessel Only,vessel_amp_bottleneck_H1,0.025720368436171842,0.0021626431939511886
Vessel Only,vessel_pi_H1_px24,0.025507553657626823,0.0022945663329935143
Vessel Only,vessel_amp_heat_H0,0.02400808948792092,0.0014699187317199864
Vessel Only,vessel_betti_curve_H0_bin8,0.02327378602789312,0.0019239990526018914
Vessel Only,vessel_betti_curve_H0_bin6,0.02322457110490449,0.002908370638952108
Vessel Only,vessel_amp_wasserstein_H0,0.021747275619294064,0.00243162713813381
Vessel Only,vessel_pi_H1_px23,0.02158152933272748,0.0016121267844239533
Vessel Only,vessel_pi_H0_px23,0.020854918827863327,0.0014481426217310073
Vessel Only,vessel_pi_H0_px11,0.019450153452188857,0.0014048666318096485
Vessel Only,vessel_pi_H0_px22,0.018939454102758383,0.00239521238425111
Vessel Only,vessel_betti_curve_H0_bin7,0.018619604942550876,0.0008283696701233794
Vessel Only,vessel_pi_H0_px24,0.01843903791579767,0.002070728870639787
Vessel Only,vessel_amp_landscape_H0,0.018372482672837188,0.0010658164415563093
Vessel Only,vessel_betti_curve_H0_bin5,0.017422461179655936,0.0021086516476675715
Vessel Only,vessel_pi_H0_px16,0.017278218215218875,0.0021360842730386844
Vessel Only,vessel_pi_H1_px22,0.017236333372600565,0.003444724504890429
Vessel Only,vessel_pi_H0_px17,0.017153914104108315,0.0025716924078921888
Vessel Only,vessel_amp_heat_H1,0.01686226455376413,0.0006408641772502673
Vessel Only,vessel_amp_bottleneck_H0,0.016195863991916477,0.0008886726295554043
Vessel Only,vessel_betti_curve_H1_bin8,0.015583161321441644,0.0005937346398010799
Vessel Only,vessel_betti_curve_H0_bin4,0.015486529445047942,0.0015300325599989257
Vessel Only,vessel_pi_H0_px0,0.01515256150969919,0.001767822148271519
Vessel Only,vessel_pi_H0_px21,0.0150570691360603,0.0007642196959774615
Vessel Only,vessel_pi_H1_px12,0.0148754478571752,0.0018522694791647492
Vessel Only,vessel_pi_H1_px17,0.014770752304337924,0.0013067539819781808
Vessel Only,vessel_pi_H0_px20,0.014727314139393436,0.0011144316670910293
Vessel Only,vessel_pi_H1_px20,0.0139299402516464,0.0021959023752300844
Vessel Only,vessel_pi_H1_px18,0.013503080277590751,0.0015354762751447035
Vessel Only,vessel_betti_curve_H0_bin3,0.013402459864929828,0.001983541350750175
